character,wubi,pinyin
涌,ice iceh,yǒng chōng
涕,iuxt,tì
涛,idt idtf,tāo cháo dào shòu táo
涝,iap iapl,lào láo
涟,ilp,lián lán
涡,ikm ikmw,wō guō
涣,iqm iqmd,huàn huì
涤,its itsy,dí
润,iugg,rùn
涧,iujg,jiàn
涨,ix ixt,zhǎng zhàng zhāng
涩,ivy ivyh,sè
涮,inm inmj,shuàn shuā
涯,idf,yá
液,iyw iywy,yè shì yì
涵,ibi ibib,hán hàn
淀,ipgh,diàn
淆,iqd iqde,xiáo yáo
淇,iadw,qí
淋,iss,lín lìn
淌,iim iimk,tǎng chǎng chàng
淑,ihic,shū chù shú
淘,iqr iqrm,táo
淡,io ioo iooy,dàn tán yǎn yàn
淤,iywu,yū
淫,iet ietf,yín yàn yáo
淮,iwy iwyg,huái
深,ipw ipws,shēn
淳,iyb iybg,chún zhūn zhǔn
混,ijx ijxx,hùn hún gǔn hǔn kūn
淹,idj idjn,yān yǎn
添,igd igdn,tiān tiàn
清,ige igeg,qīng qìng
渊,ito itoh,yuān
渍,igm igmy,zì qì sè
渎,ifnd,dú dòu
渐,il ilr ilrh,jiàn jiān chán qián
渔,iqgg,yú
渗,icd icde,shèn lín qīn sēn
渚,ift iftj,zhǔ
渝,iwgj,yú
渠,ians,qú jù
渡,iya iyac,dù
渣,isjg,zhā
渤,ifp ifpl,bó
温,ijl ijlg,wēn
港,iawn,gǎng jiǎng hòng
渲,ipgg,xuàn
渴,ijq,kě hé jié kài
游,iytb,yóu liú
渺,ihit,miǎo
湃,ird irdf,pài bá
湖,ide,hú
湘,ishg,xiāng
湛,iad,zhàn chén dān jiān jìn tán
湾,iyo iyox,wān
湿,ijo ijog,shī qì tà xí
溃,ikh ikhm,kuì huì xiè
溅,imgt,jiàn jiān zàn
溉,ivc ivcq,gài xiè
源,idr,yuán
溜,iqyl,liū liù liú
溢,iuw iuwl,yì
溥,igef,pǔ bó bù fū pò
溪,iex iexd,xī qī
溯,iub iube,sù shuò
溶,ipwk,róng
溺,ixu ixuu,nì niào
滇,ifhw,diān tián zhēn
滋,iux iuxx,zī cí
滑,ime,huá gǔ
滔,iev ievg,tāo
滕,eudi,téng
滚,iuc iuce,gǔn
滞,igk igkh,zhì chì
满,iagw,mǎn mèn
滤,iha,lǜ
滥,ijt ijtl,làn jiàn lán lǎn
滨,ipr iprw,bīn
滩,icw icwy,tān hàn nàn
滴,ium iumd,dī
漂,isf isfi,piāo piǎo piào biāo
漆,isw iswi,qī
漉,iynx,lù
漏,infy,lòu lóu
漓,iybc,lí
演,ipg ipgw,yǎn yàn
漠,iaj iajd,mò
漫,ijlc,màn mán
漱,igkw,shù sòu
漾,iugi,yàng yáng
潇,iavj,xiāo
潘,itol,pān bō fān pán pàn
潜,ifw ifwj,qián
潭,isj isjh,tán dàn xún yǐn
潮,ifj ifje,cháo
澄,iwgu,chéng dèng
澈,iyct,chè
澎,ifke,péng pēng
澜,iugi,lán
澡,ik ikk ikks,zǎo cāo
澳,itm,ào yù
激,iry iryt,jī jiāo jiào
濑,igkm,lài
濒,ihim,bīn
瀑,ija ijai,pù bào bó
灌,iak iaky,guàn huàn
火,ooo oooo,huǒ huō
灭,goi,miè
灯,os osh,dēng
灰,do dou,huī
灵,vo vou,líng lìng
灶,of ofg,zào
灸,qyo qyou,jiǔ
灼,oqy oqyy,zhuó
灾,po pou,zāi
灿,om,càn
炉,oyn oynt,lú
炊,oqw oqwy,chuī
炎,oo oou,yán tán yàn
炒,oi oit oitt,chǎo
炕,oym oymn,kàng hāng
炖,ogbn,dùn dūn tūn tún
炙,qo qou,zhì
炫,oyx oyxy,xuàn
炬,oan oang,jù
炭,mdo mdou,tàn
炮,oq oqn oqnn,páo bāo pào
炳,ogm ogmw,bǐng
炸,oth othf,zhà zhá
点,hko hkou,diǎn duò zhān
炼,oanw,liàn làn
炽,ok okw okwy,chì
烁,oqi oqiy,shuò luò yuè
烂,oufg,làn
烈,gqjo,liè
烘,oaw,hōng
烙,otk otkg,lào luò gé
烛,oj ojy,zhú
烟,ol old oldy,yān
烤,oft oftn,kǎo
烦,odm odmy,fán
烧,oat oatq,shāo shào
烩,owf owfc,huì
烫,inro,tàng dàng
热,rvyo,rè
烯,oqd oqdh,xī
烹,ybo ybou,pēng
焉,ghg,yān yí
焊,ojf ojfh,hàn
焕,oqm oqmd,huàn
焚,sso,fén fèn
焦,wyo wyou,jiāo qiáo
焰,oqv oqvg,yàn
然,qd qdo qdou,rán
煌,or orgg,huáng
煎,uejo,jiān jiǎn jiàn
煞,qvt qvto,shā shà
煤,oa oaf oafs,méi
照,jvko,zhào
煨,olg olge,wēi yù
煮,ftjo,zhǔ
煽,oynn,shān shàn
熄,othn,xī xí
熊,cexo,xióng
熏,tgl tglo,xūn xùn
熔,opw opwk,róng
熙,ahk ahko,xī yí
熟,ybv ybvo,shú shóu
熬,gqto,āo áo
燃,oqdo,rán
燕,au auko,yàn yān
燥,okk okks,zào sào
爆,oja ojai,bào bó
爪,rhyi,zhǎo zhuǎ
爬,rhyc,pá
爰,eft eftc,yuán
爱,ep epd epdc,ài
爵,elv elvf,jué
父,wqu,fù fǔ
爷,wqb wqbj,yé
爸,wqc wqcb,bà
爹,wqqq,diē
爻,qqu,yáo xiào
爽,dqq dqqq,shuǎng shuāng
片,thg thgn,piàn piān pàn
版,thgc,bǎn
牌,thgf,pái
牙,ah aht ahte,yá yà
牛,rhk,niú
牟,cr crh crhj,móu mù mào
牡,trfg,mǔ
牢,prh prhj,láo lào lóu
牧,trt trty,mù
物,tr trq trqr,wù
牲,trtg,shēng
牵,dpr,qiān qiàn
特,trf,tè
牺,trs trsg,xī suō
犀,nir nirh,xī
犁,tjr tjrh,lí
犊,trfd,dú
犬,dgty,quǎn
犯,qtbn,fàn
状,udy,zhuàng
犷,qtyt,guǎng jǐng
犹,qtdn,yóu yáo
狂,qtg qtgg,kuáng jué
狄,qtoy,dí tì
狈,qtmy,bèi
狐,qtr qtry,hú
狗,qtq qtqk,gǒu
狙,qteg,jū
狞,qtp qtps,níng
狠,qtv qtve,hěn hǎng kěn yán yín
狡,qtu,jiǎo xiào
狩,qtpf,shòu
独,qtj qtjy,dú
狭,qtgw,xiá
狮,qtjh,shī
狰,qtqh,zhēng
狱,qtyd,yù
狸,qtjf,lí mái
狼,qty qtye,láng hǎng lǎng làng
猎,qta qtaj,liè
猖,qtjj,chāng
猛,qtbl,měng
猜,qtge,cāi
猥,qtle,wěi wèi
猩,qtjg,xīng
猪,qtfj,zhū
猫,qtal,māo máo
猬,qtle,wèi
献,fmud,xiàn suō xī
猴,qtw qtwd,hóu
猾,qtm qtme,huá
猿,qtfe,yuán
玄,yxu,xuán xuàn
率,yx yxi yxif,shuài lǜ lè
玉,gy gyi,yù
王,ggg,wáng wàng yù
玖,gqy gqyy,jiǔ
玛,gcg,mǎ
玩,gfq gfqn,wán wàn
玫,gt gty,méi
玮,gfn gfnh,wěi
环,ggi,huán huàn
现,gm gmq gmqn,xiàn
玲,gwy gwyc,líng
玷,ghk ghkg,diàn diān
玺,qig qigy,xǐ
玻,ghc ghcy,bō
珀,grg,pò
珊,gmm gmmg,shān
珍,gw gwe,zhēn
珑,gdx,lóng
珠,gr gri griy,zhū
班,gyt gytg,bān
球,gfi gfiy,qiú
琅,gyv gyve,láng làng
理,gj gjf gjfg,lǐ
琉,gyc gycq,liú
琐,gim gimy,suǒ
琛,gpw gpws,chēn
琢,gey geyy,zhuó zuó
琥,gha gham,hǔ
琦,gds gdsk,qí
琪,gad gadw,qí
琳,gss gssy,lín
琴,ggw ggwn,qín
琵,ggx ggxx,pí
琶,ggc ggcb,pá
琼,gyiy,qióng xuán
瑕,gnh gnhc,xiá
瑙,gvt gvtq,nǎo
瑚,gde gdeg,hú
瑜,gwg gwgj,yú
瑞,gmd gmdj,ruì
瑟,ggn ggnt,sè
瑰,grq grqc,guī
璀,gmwy,cuǐ
璃,gyb gybc,lí li
璋,guj gujh,zhāng
璧,nkuy,bì
瓜,rcy,guā
瓢,sfiy,piáo
瓣,ur urc urcu,bàn
瓤,ykky,ráng
瓦,gny,wǎ wà
瓮,wcg wcgn,wèng
瓶,uag uagn,píng
瓷,uqwn,cí
甄,sfgn,zhēn
甘,afd,gān
甚,adwn,shèn shén shí
甜,tdaf,tián
生,tg tgd,shēng
甥,tgll,shēng
用,et etnh,yòng
甩,en env,shuǎi
甫,geh gehy,fǔ pǔ pù
甬,cej,yǒng dòng
甭,gie giej,béng qì
田,lll llll,tián
由,mh mhng,yóu yāo
甲,lhnh,jiǎ
申,jhk,shēn
电,jn jnv,diàn
男,ll llb,nán
甸,ql qld,diàn tián shèng yìng
町,lsh,tǐng dīng
画,gl glb glbj,huà
畀,lgj lgjj,bì
畅,jhnr,chàng
界,lwj lwjj,jiè
畏,lge lgeu,wèi wēi wěi
畔,luf lufh,pàn
留,qyvl,liú liǔ liù
畜,yxl yxlf,xù chù
略,ltk,lüè lè
番,tol,fān pān bō fán pán pí pó
畴,ldt,chóu
畸,lds ldsk,jī qí
疆,xfg xfgg,jiāng qiáng jiàng
疏,nhy nhyq,shū shù
疑,xtdh,yí nǐ níng
疗,ubk,liáo shuò
疙,utn utnv,gē yì
疚,uqy,jiù
疟,uagd,nüè yào nè
疡,unr unre,yáng dàng
疤,ucv,bā
疫,umc umci,yì
疮,uwb uwbv,chuāng
疯,umq umqi,fēng
疲,uhc uhci,pí
疵,uhx uhxv,cī jì zhài zī
疹,uwe uwee,zhěn chèn
疼,utu utui,téng
疾,utd utdi,jí
病,ugm ugmw,bìng
症,ugh,zhēng zhèng
痉,uca,jìng
痊,uwg,quán
痒,uud uudk,yǎng
痕,uve uvei,hén gèn
痘,ugku,dòu
痛,uce ucek,tòng
痞,ugi ugik,pǐ
痢,utj utjk,lì
痣,ufni,zhì
痪,uqm uqmd,huàn
痰,uoo uooi,tán
痴,utdk,chī
痹,ulgj,bì
瘟,ujl ujld,wēn wò yūn
瘤,uqyl,liú
瘦,uvh uvhc,shòu
瘩,uaw uawk,dá da dā
瘪,uthx,biē biě piē
瘫,ucwy,tān
瘸,ulkw,qué
瘾,ubq ubqn,yǐn
癌,ukk ukkm,ái yán
癖,unk unku,pǐ
癣,uqg uqgd,xuǎn xiǎn
癫,ufhm,diān
癸,wgd wgdu,guǐ
登,wgku,dēng dé
白,rrr,bái bó
百,dj djf,bǎi bó mò
皂,rab,zào
的,r rqy,dí dì de
皆,xxr xxrf,jiē
皇,rgf,huáng wǎng
皑,rmnn,ái
皓,rtfk,hào huī
皖,rpf,wǎn huàn
皮,hc hci,pí
皱,qvhc,zhòu zhōu
皿,lhn lhng,mǐn mǐng
盅,khl,zhōng chōng
盆,wvl wvlf,pén
盈,ecl eclf,yíng
益,uwl uwlf,yì
盍,fclf,hé kě
盎,mdl mdlf,àng
盏,glf,zhǎn
盐,fhl,yán yàn
监,jtyl,jiān jiàn kàn
盒,wgkl,hé ān
盔,dol dolf,kuī
盖,ugl uglf,gài gě hé
盗,uqwl,dào
盘,tel telf,pán xuán
盛,dnnl,shèng chéng
盟,jel jelf,méng mèng míng
目,hhhh,mù
盯,hs hsh,dīng chéng
盲,ynh ynhf,máng wàng
直,fh fhf,zhí
相,sh shg,xiāng xiàng
盹,hgb hgbn,dǔn dùn zhūn
盼,hwv hwvn,pàn fén
盾,rfh rfhd,dùn shǔn yǔn
省,ith ithf,shěng xǐng xiǎn
眇,hit hitt,miǎo
眈,hpq hpqn,dān chěn tán
眉,nhd,méi
看,rhf,kàn kān
真,fhw,zhēn
眠,hna hnan,mián miǎn mǐn
眨,htp htpy,zhǎ
眩,hy hyx hyxy,xuàn huàn juàn
眯,ho hoy,mī mí mǐ mì
眶,hag hagg,kuàng
眷,udhf,juàn
眸,hcr hcrh,móu
眺,hiq hiqn,tiào
眼,hv hve hvey,yǎn wěn
着,udh udhf,zhuó zháo zhāo zhe chú zhù
睁,hqv hqvh,zhēng
睐,hgo hgoy,lài
睑,hwgi,jiǎn
睛,hg hge hgeg,jīng jǐng
睡,ht htg htgf,shuì
督,hich,dū
睦,hf hfw hfwf,mù
睫,hgv hgvh,jié shè
睬,hes hesy,cǎi
睹,hft,dǔ
睾,tlff,gāo
睿,hpgh,ruì
瞄,hal halg,miáo
瞅,hto htoy,chǒu
瞌,hfcl,kē
瞎,hp hpd hpdk,xiā
瞒,hagw,mán mén mèn
瞟,hsf hsfi,piǎo piāo piào
瞥,umih,piē bì
瞧,hwy hwyo,qiáo
瞩,hnt hnty,zhǔ
瞪,hwg hwgu,dèng
瞬,hep heph,shùn
瞰,hnb hnbt,kàn
瞳,hu huj hujf,tóng
瞻,hqd hqdy,zhān
瞿,hhwy,qú jù
矗,fhfh,chù
矛,cbt cbtr,máo
矜,cbtn,jīn qín guān
矢,tdu,shǐ
矣,ct ctd ctdu,yǐ xián
知,td tdk,zhī zhì
矩,tda tdan,jǔ
矫,tdtj,jiǎo jiáo jiāo
短,tdg tdgu,duǎn
矮,tdtv,ǎi
石,dgtg,shí dàn
矶,dmn,jī
矾,dmy,fán
矿,dyt,kuàng
码,dcg,mǎ
砂,di dit ditt,shā
砌,dav davn,qì qiè
砍,dqw,kǎn
研,dga dgah,yán yàn xíng
砖,dfny,zhuān tuán tuó
砚,dmq,yàn
砰,dgu dguh,pēng pèng pīng
破,dhc dhcy,pò
砸,damh,zá
砾,dqi,lì luò
础,dbm dbmh,chǔ
硅,dff dffg,guī hè huò
硕,ddm,shuò shí
硝,die dieg,xiāo qiào
硫,dyc dycq,liú chù
硬,dgj dgjq,yìng gěng
确,dqe dqeh,què
碌,dvi dviy,lù liù luò
碍,djg djgf,ài
碎,dyw,suì
碑,drt,bēi
碗,dpq dpqb,wǎn
碘,dma dmaw,diǎn
碟,dan dans,dié shé
碧,grd grdf,bì
碰,duo duog,pèng
碱,ddg ddgt,jiǎn
碳,dmd dmdo,tàn
碾,dna dnae,niǎn liǎn niàn
磁,du dux duxx,cí
磅,dup dupy,bàng páng pāng pàng
磊,ddd dddf,lěi
磋,dud,cuō
磕,dfc dfcl,kē kě
磨,yssd,mó mò
磷,doq doqh,lín lǐn lìn líng
礁,dwy dwyo,jiāo
示,fi fiu,shì qī shí zhì
礼,pynn,lǐ
社,py pyf pyfg,shè
祀,pynn,sì
祈,pyr pyrh,qí guǐ
祉,pyh pyhg,zhǐ
祖,pye pyeg,zǔ jiē
祝,pyk pykq,zhù chù zhòu
神,pyj pyjh,shén shēn
祟,bmf,suì
祠,pynk,cí sì
祥,pyu pyud,xiáng
票,sfiu,piào piāo
祭,wfi wfiu,jì zhài
祷,pyd,dǎo
祸,pykw,huò
禀,ylki,bǐng lǐn
禁,ssf ssfi,jīn jìn
禄,pyv pyvi,lù
禅,pyuf,shàn chán tán
福,pyg pygl,fú fù
禧,pyfk,xǐ xī
禹,tkm tkmy,yǔ
禺,jmhy,yú yù ǒu
离,yb ybm ybmc,lí chī gǔ lǐ lì
禽,wyb,qín
禾,ttt,hé
秀,te teb,xiù
私,tcy,sī
秃,tmb,tū
秆,tfh,gǎn
秉,tgv tgvi,bǐng
秋,to toy,qiū
种,tkh tkhh,zhǒng zhòng chóng
科,tu,kē kè
秒,ti tit titt,miǎo
秘,tn tnt,mì bì bié
租,teg tegg,zū jū
秤,tgu tguh,chèng chèn chēng píng
秦,dwt dwtu,qín
秧,tmdy,yāng
秩,trw trwy,zhì
积,tkw,jī
称,tq tqi tqiy,chēng chèn chèng
秸,tfkg,jiē jí
移,tqq tqqy,yí chǐ yì
秽,tmq tmqy,huì
稀,tqd,xī
程,tkgg,chéng
稍,tie,shāo shào
税,tuk tukq,shuì tuàn tuì tuō
稚,twy,zhì
稞,tjsy,kē huà
稠,tmfk,chóu diào tiáo tiào
稣,qgty,sū
稳,tqv tqvn,wěn
稻,tev tevg,dào
稼,tpe tpey,jià
稽,tdnj,jī qǐ
稿,tym,gǎo
穆,tri trie,mù
穗,tgjn,suì
穴,pwu,xué jué xuè
究,pwv pwvb,jiū jiù
穷,pwl pwlb,qióng
穹,pwx pwxb,qióng
空,pw pwa pwaf,kōng kòng kǒng
穿,pwat,chuān
突,pwd pwdu,tū tú
窃,pwav,qiè
窄,pwtf,zhǎi zé
窍,pwan,qiào
窑,pwr,yáo
窒,pwg pwgf,zhì dié
窖,pwtk,jiào zào
窗,pwt pwtq,chuāng cōng
窘,pwvk,jiǒng
窜,pwk,cuàn cuān
窝,pwkw,wō
窟,pwn pwnm,kū
窥,pwfq,kuī kuǐ
窿,pwb pwbg,lóng
立,uu uuu uuuu,lì wèi
竖,jcu jcuf,shù
站,uh uhkg,zhàn zhān
竞,ukqb,jìng
竟,ujq ujqb,jìng
章,ujj,zhāng zhàng
竣,ucw ucwt,jùn
童,ujff,tóng zhōng
竭,ujqn,jié
端,umdj,duān
竹,ttg,zhú
竿,tfj,gān gǎn gàn
笃,tcf,dǔ
笋,tvt tvtr,sǔn
笑,ttd ttdu,xiào
笔,tt ttf,bǐ
笙,ttgf,shēng
笛,tmf,dí
符,twf twfu,fú
笨,tsg tsgf,bèn
第,tx txh txht,dì
笺,tgr,jiān
笼,tdx tdxb,lóng lǒng
等,tffu,děng
筋,telb,jīn qián
筏,twa twar,fá
筐,tag tagf,kuāng
筑,tam tamy,zhù zhú
筒,tmgk,tǒng dòng tóng
答,tw twg twgk,dá dā
策,tgm tgmi,cè
筛,tjgh,shāi shī
筝,tqvh,zhēng
筱,twh twht,xiǎo
筷,tnn tnnw,kuài
筹,tdtf,chóu táo
签,twgi,qiān
简,tuj,jiǎn
箕,tad,jī
算,tha thaj,suàn
管,tp tpn tpnn,guǎn
箩,tlq tlqu,luó
箫,tvij,xiāo xiǎo
箭,tue tuej,jiàn
箱,tsh tshf,xiāng
篇,tyna,piān
篓,tov,lǒu jù lǚ
篡,thdc,cuàn
篮,tjtl,lán
篱,tyb tybc,lí
篷,ttdp,péng
簇,tyt,cù chuò còu
簧,tamw,huáng
簸,tadc,bò bǒ
簿,tig tigf,bù bó
籁,tgkm,lài
籍,tdij,jí jiè
米,oy oyt oyty,mǐ
类,od odu,lèi lì
籽,ob obg,zǐ
粉,ow owv owvn,fěn
粒,oug,lì
粗,oe oeg oegg,cū
粘,oh ohk ohkg,nián zhān liān
粞,osg,xī
粟,sou,sù
粤,tlo tlon,yuè
粥,xox xoxn,zhōu yù zhù
粪,oawu,fèn
粮,oyv oyve,liáng
粱,ivwo,liáng
粲,hqco,càn
粹,oyw oywf,cuì suì
粽,opfi,zòng
精,oge ogeg,jīng jìng qíng
糊,ode,hū hú hù
糕,ougo,gāo
糖,oyvk,táng
糙,otf otfp,cāo
糟,ogmj,zāo
糠,oyvi,kāng
糯,ofd ofdj,nuò
系,txi txiu,xì jì
紊,yxiu,wěn wèn
素,gxi gxiu,sù
索,fpx fpxi,suǒ
紧,jc jcx jcxi,jǐn
紫,hxx hxxi,zǐ
累,lx lxi lxiu,léi lěi lèi
絮,vkx vkxi,xù chù nò nǜ
繁,txgi,fán pó pán
纂,thdi,zuǎn zuàn
纠,xnh xnhh,jiū jiǔ
红,xa xag,hóng gōng jiàng
纤,xtf,qiàn
约,xq xqy xqyy,yuē yāo dì yào
级,xe xey xeyy,jí
纪,xn,jì jǐ
纫,xvy xvyy,rèn
纬,xfnh,wěi
纯,xgb xgbn,chún quán tún zhūn zhǔn zī
纱,xi xit xitt,shā miǎo
纲,xm xmq xmqy,gāng
纳,xmw,nà
纵,xww xwwy,zòng zǒng cóng sǒng
纷,xwv xwvn,fēn
纸,xqa xqan,zhǐ
纹,xyy,wén wèn
纺,xy xyn,fǎng bǎng fàng
纽,xnf xnfg,niǔ
纾,xcb xcbh,shū
线,xg xgt,xiàn
练,xan xanw,liàn
组,xeg xegg,zǔ qū
绅,xjh xjhh,shēn
细,xl xlg,xì
织,xkw xkwy,zhī zhì
终,xtu xtuy,zhōng
绊,xuf xufh,bàn
绍,xvk xvkg,shào chāo
绎,xcf xcfh,yì shì
经,x xc xca,jīng jìng
绑,xdt xdtb,bǎng
绒,xad xadt,róng
结,xf xfk xfkg,jié jiē jì
绕,xat xatq,rào rǎo
绘,xwf xwfc,huì guì
给,xw xwg xwgk,gěi jǐ xiá
绚,xqj xqjg,xuàn xún
络,xtk xtkg,luò lào
绝,xqc xqcn,jué
绞,xuq xuqy,jiǎo jiào xiáo
统,xyc xycq,tǒng
绢,xke xkeg,juàn xuàn
绣,xten,xiù
继,xo xon xonn,jì
绩,xgm xgmy,jì jī
绪,xft xftj,xù
续,xfn xfnd,xù
绯,xdjd,fēi
绰,xhj xhjh,chuò chāo
绳,xkjn,shéng mǐn shèng yìng
维,xwy xwyg,wéi yí
绵,xr xrm xrmh,mián
绷,xee xeeg,bēng běng bèng
绸,xmf xmfk,chóu diào tāo
综,xp xpf xpfi,zōng zèng zòng
绽,xpg xpgh,zhàn
绿,xv xvi,lǜ lù
缀,xcc xccc,zhuì chuò
缅,xdmd,miǎn
缆,xjt xjtq,lǎn làn
缉,xkb xkbg,jī qī jí qì
缎,xwd xwdc,duàn
缓,xef xefc,huǎn
缔,xup xuph,dì
缕,xov xovg,lǚ
编,xyna,biān biǎn biàn
缘,xxe xxey,yuán yuàn
缚,xge xgef,fù fú
缝,xtdp,féng fèng
缠,xyj xyjf,chán
缤,xpr xprw,bīn
缨,xmm xmmv,yīng
缩,xpw xpwj,suō sù
缭,xdu xdui,liáo rǎo
缰,xgl xglg,jiāng
缴,xry xryt,jiǎo zhuó hé jiào
缶,rmk,fǒu guàn
缸,rma rmag,gāng hóng
缺,rmn rmnw,quē
罐,rmay,guàn
网,mqq,wǎng
罔,muy muyn,wǎng
罕,pwf pwfj,hǎn hàn
罗,lq lqu,luó luo luō
罚,ly lyj,fá
罢,lfc lfcu,bà ba pí bǎi bǐ pì
罩,lhj lhjj,zhào
罪,ldj ldjd,zuì
置,lfhf,zhì
署,lftj,shǔ
罹,lnw,lí
羁,laf lafc,jī
羊,udj,yáng xiáng
美,ugdu,měi
羔,ugo ugou,gāo
羚,udwc,líng
羞,udn,xiū
羡,ugu uguw,xiàn yán yí
群,vtk,qún
羯,udjn,jié
羲,ugt ugtt,xī
羹,ugod,gēng láng
羽,nny nnyg,yǔ hù
翁,wcn,wēng wěng
翅,fcn fcnd,chì
翎,wycn,líng
翔,udng,xiáng
翘,atgn,qiáo qiào
翟,nwyf,dí zhái
翠,nywf,cuì
翡,djdn,fěi
翩,ynmn,piān
翰,fjw fjwn,hàn
翻,toln,fān
翼,nla nlaw,yì
耀,iqny,yào
老,ftx ftxb,lǎo
考,ftg ftgn,kǎo
者,ftj ftjf,zhě zhū
耆,ftxj,qí shì zhǐ
而,dmj dmjj,ér néng
耍,dmjv,shuǎ
耐,dmjf,nài néng
耒,dii,lěi
耕,dif difj,gēng
耗,ditn,hào máo mào
耘,difc,yún
耙,dic dicn,bà pá bǎ
耦,dij dijy,ǒu
耳,bgh bghg,ěr réng
耶,bbh,yé yē xié
耸,wwb,sǒng
耻,bh bhg,chǐ
耽,bpq bpqn,dān
耿,bo boy,gěng
聂,bccu,niè shè yè zhé zhè
聆,bwyc,líng
聊,bqt bqtb,liáo liú
聋,dxb,lóng
职,bk bkw bkwy,zhí tè zhì
联,bu bud budy,lián
聘,bmg bmgn,pìn pìng
聚,bct bcti,jù
聪,bukn,cōng
聿,vfhk,yù
肃,vij vijk,sù
肆,dv dvf dvfh,sì tì
肇,ynth,zhào
肉,mww mwwi,ròu rù
肋,el eln,lèi lē jīn lè
肌,em emn,jī jì
肖,ie ief,xiāo xiào
肘,efy,zhǒu
肚,efg,dù dǔ
肛,ea eag,gāng
肝,ef efh,gān
肠,enr enrt,cháng
股,emc emcy,gǔ
肢,efc efcy,zhī shì
肤,efw efwy,fū
肥,ec ecn,féi bǐ
肩,yned,jiān xián
肪,eyn,fáng
肮,eym eymn,āng kǎng
肯,he hef,kěn
育,yce ycef,yù yō
肴,qde qdef,yáo
肺,egm egmh,fèi pèi
肾,jce jcef,shèn
肿,ek ekh ekhh,zhǒng
胀,eta etay,zhàng cháng
胁,elw elwy,xié xī xiàn
胃,le lef,wèi
胆,ej ejg ejgg,dǎn
背,uxe uxef,bèi bēi
胎,eck eckg,tāi
胖,euf,pàng pán pàn
胚,egi egig,pēi
胜,etg etgg,shèng shēng
胞,eqn eqnn,bāo páo pào
胡,de deg,hú
胥,nhe nhef,xū xǔ
胧,edx edxn,lóng lǒng
胭,eld eldy,yān
胰,egx egxw,yí
胳,etk etkg,gē gé gā
胶,eu euq euqy,jiāo jiǎo
胸,eq eqq eqqb,xiōng
能,ce cex cexx,néng nài nái tái tài xióng
脂,ex exj exjg,zhī zhǐ
脆,eqd eqdb,cuì
脉,eyni,mài mò
脊,iwe iwef,jǐ jí
脏,eyf eyfg,zàng
脐,eyj,qí
脑,eyb eybh,nǎo nào
脓,epe epey,nóng
脖,efp efpb,bó
脚,efcb,jiǎo jué
脯,ege,fǔ pú
脱,euk eukq,tuō tuì
脸,ew ewg,liǎn
脾,ert ertf,pí bì pái pì
腊,eaj eajg,là xī
腋,eywy,yè yì
腌,edjn,ā yān ān āng
腐,ywfw,fǔ
腑,eyw eywf,fǔ
腔,epw epwa,qiāng kòng
腕,epq epqb,wàn
腥,ejt ejtg,xīng
腮,elny,sāi
腰,esv esvg,yāo
腱,evfp,jiàn qián
腹,etj etjt,fù
腺,eri eriy,xiàn
腻,eaf eafm,nì
腾,eud eudc,téng
腿,eve evep,tuǐ
膀,eup eupy,bǎng páng bàng pāng pǎng
膊,egef,bó liè pò
膏,ypk ypke,gāo gào
膛,ei eip eipf,táng tāng
膜,eajd,mó mò
膝,esw eswi,xī
膨,efk efke,péng pèng
膳,eudk,shàn
臀,nawe,tún
臂,nkue,bì bei bèi
臊,ekks,sāo sào
臣,ahn,chén
臧,dnd,zāng zàng cáng záng
自,thd,zì
臭,thdu,chòu xiù
至,gcf gcff,zhì dié
致,gcft,zhì
臼,vth vthg,jiù
舀,evf,yǎo
舁,vaj,yú
舂,dwv dwvf,chōng
舄,vqo vqou,xì
舅,vl vll vllb,jiù
舆,wfl,yú yù
舌,tdd,shé guā
舍,wfk wfkf,shě shè
舒,wfkb,shū yù
舔,tdgn,tiǎn tān
舛,qah qahh,chuǎn
舜,epqh,shùn
舞,rlg,wǔ
舟,tei,zhōu
航,tey teym,háng
般,tem temc,bān bǎn bō pán
舰,temq,jiàn
舱,tew tewb,cāng
舵,tepx,duò tuó
舶,ter terg,bó
舷,teyx,xián
船,temk,chuán
艇,tet tetp,tǐng
艘,tevc,sōu sāo
艮,vei,gèn gěn hén
良,yv yve yvei,liáng liǎng
艰,cv cve cvey,jiān
色,qc qcb,sè shǎi
艳,dhq dhqc,yàn
艺,anb,yì
艾,aqu,ài yì
节,ab abj,jié jiē
芋,agf agfj,yù hū xū yú yǔ
芒,ayn aynb,máng huāng huǎng wáng
芙,afw afwu,fú
芜,afqb,wú wǔ
芝,ap apu,zhī
芥,awj,jiè gài
芦,aynr,lú
芬,awv awvb,fēn fén
芭,ac acb,bā pā
芯,anu,xīn xìn
花,awx awxb,huā
芳,ay ayb,fāng
芷,ahf,zhǐ
芹,arj,qín
芽,aah aaht,yá
苇,afn afnh,wěi
苍,awb awbb,cāng cǎng
苏,alw alwu,sū sù
苑,aqb aqbb,yù yuān yuǎn yuàn yūn yǔn
苓,awyc,líng lián
苔,ack ackf,tái tāi
苗,alf,miáo
苛,as ask askf,kē hē hé
苜,ahf,mù
苞,aqn aqnb,bāo biāo páo
苟,aqkf,gǒu gōu
若,adk adkf,ruò rě ré rè
苦,adf,kǔ gǔ
苯,asg asgf,běn
英,amd amdu,yīng yāng
苹,agu aguh,píng pēng pín
茁,abm abmj,zhuó zhú
茂,adn,mào
范,aib aibb,fàn
